filepath,xmin,xmax,ymin,ymax
../archive/annotations/Cars213.xml,150,233,160,194
../archive/annotations/Cars207.xml,254,372,229,264
../archive/annotations/Cars398.xml,72,196,139,222
../archive/annotations/Cars367.xml,224,382,161,222
../archive/annotations/Cars401.xml,158,238,223,240
../archive/annotations/Cars415.xml,133,261,157,192
../archive/annotations/Cars373.xml,161,264,132,157
../archive/annotations/Cars429.xml,86,208,166,195
../archive/annotations/Cars47.xml,6,48,143,161
../archive/annotations/Cars53.xml,146,260,187,213
../archive/annotations/Cars165.xml,209,293,217,254
../archive/annotations/Cars171.xml,192,242,146,167
../archive/annotations/Cars159.xml,149,261,184,211
../archive/annotations/Cars84.xml,167,238,201,220
../archive/annotations/Cars90.xml,77,101,204,225
../archive/annotations/Cars91.xml,269,317,170,189
../archive/annotations/Cars85.xml,86,146,218,235
../archive/annotations/Cars158.xml,97,296,118,210
../archive/annotations/Cars170.xml,318,346,190,224
../archive/annotations/Cars164.xml,160,239,144,183
../archive/annotations/Cars52.xml,226,327,181,210
../archive/annotations/Cars46.xml,189,352,193,248
../archive/annotations/Cars428.xml,142,258,128,157
../archive/annotations/Cars414.xml,269,309,206,228
../archive/annotations/Cars372.xml,221,353,275,309
../archive/annotations/Cars366.xml,144,316,112,160
../archive/annotations/Cars400.xml,303,340,191,217
../archive/annotations/Cars399.xml,106,309,62,161
../archive/annotations/Cars206.xml,95,164,185,206
../archive/annotations/Cars212.xml,105,290,94,141
../archive/annotations/Cars204.xml,193,279,145,187
../archive/annotations/Cars210.xml,54,315,90,159
../archive/annotations/Cars238.xml,276,396,186,273
../archive/annotations/Cars370.xml,285,425,249,276
../archive/annotations/Cars416.xml,150,234,207,221
../archive/annotations/Cars402.xml,360,438,165,181
../archive/annotations/Cars364.xml,61,115,140,167
../archive/annotations/Cars358.xml,44,107,94,107
../archive/annotations/Cars78.xml,149,249,210,239
../archive/annotations/Cars50.xml,116,525,55,262
../archive/annotations/Cars199.xml,59,310,88,158
../archive/annotations/Cars44.xml,18,430,153,271
../archive/annotations/Cars172.xml,173,301,209,239
../archive/annotations/Cars166.xml,148,201,123,150
../archive/annotations/Cars93.xml,347,367,122,132
../archive/annotations/Cars87.xml,3,45,205,220
../archive/annotations/Cars86.xml,332,447,176,204
../archive/annotations/Cars92.xml,281,393,185,271
../archive/annotations/Cars167.xml,176,327,254,285
../archive/annotations/Cars173.xml,170,252,118,163
../archive/annotations/Cars45.xml,204,280,103,175
../archive/annotations/Cars198.xml,166,273,225,246
../archive/annotations/Cars51.xml,264,318,141,162
../archive/annotations/Cars79.xml,238,350,363,422
../archive/annotations/Cars359.xml,228,266,228,240
../archive/annotations/Cars403.xml,296,332,189,209
../archive/annotations/Cars365.xml,293,373,205,226
../archive/annotations/Cars371.xml,313,371,135,150
../archive/annotations/Cars417.xml,90,273,145,196
../archive/annotations/Cars239.xml,176,326,254,284
../archive/annotations/Cars211.xml,28,387,64,235
../archive/annotations/Cars205.xml,156,221,162,199
../archive/annotations/Cars229.xml,253,284,163,177
../archive/annotations/Cars201.xml,216,367,171,208
../archive/annotations/Cars215.xml,92,162,105,123
../archive/annotations/Cars349.xml,38,146,225,249
../archive/annotations/Cars413.xml,237,271,143,162
../archive/annotations/Cars375.xml,144,300,114,145
../archive/annotations/Cars361.xml,148,305,113,178
../archive/annotations/Cars407.xml,311,346,183,202
../archive/annotations/Cars55.xml,143,210,171,208
../archive/annotations/Cars188.xml,32,43,184,193
../archive/annotations/Cars41.xml,109,159,182,206
../archive/annotations/Cars69.xml,77,124,150,175
../archive/annotations/Cars96.xml,133,261,126,160
../archive/annotations/Cars82.xml,190,257,59,77
../archive/annotations/Cars177.xml,149,272,166,193
../archive/annotations/Cars163.xml,220,360,173,200
../archive/annotations/Cars162.xml,201,268,168,213
../archive/annotations/Cars176.xml,72,308,67,185
../archive/annotations/Cars83.xml,251,326,295,341
../archive/annotations/Cars97.xml,98,297,102,191
../archive/annotations/Cars68.xml,189,245,142,171
../archive/annotations/Cars40.xml,261,317,186,211
../archive/annotations/Cars189.xml,285,423,241,286
../archive/annotations/Cars54.xml,148,257,61,118
../archive/annotations/Cars360.xml,52,94,167,200
../archive/annotations/Cars406.xml,285,374,185,226
../archive/annotations/Cars412.xml,221,362,172,202
../archive/annotations/Cars374.xml,354,441,118,142
../archive/annotations/Cars348.xml,156,250,121,204
../archive/annotations/Cars214.xml,188,214,121,134
../archive/annotations/Cars200.xml,95,195,189,217
../archive/annotations/Cars228.xml,86,113,127,143
../archive/annotations/Cars216.xml,205,280,214,262
../archive/annotations/Cars202.xml,197,249,135,159
../archive/annotations/Cars389.xml,77,222,305,370
../archive/annotations/Cars404.xml,162,235,208,244
../archive/annotations/Cars362.xml,139,162,172,179
../archive/annotations/Cars376.xml,159,252,178,203
../archive/annotations/Cars410.xml,51,219,150,212
../archive/annotations/Cars42.xml,177,217,140,159
../archive/annotations/Cars56.xml,87,339,82,146
